Run,Evt,vertexX,vertexY,vertexZ,selected,selected_cheated_2d,selected_cheated_2d_vtx,selected_cheated_2d_vtx_3d,selected_cheated_2d_vtx_3d_mva
102,20,167.58189392089844,-22.471336364746094,-405.0699157714844,0.0,1.0,1.0,1.0,1.0
102,38,173.9790802001953,42.25971603393555,458.0323486328125,0.0,0.0,0.0,0.0,0.0
1020,4,103.76461029052734,-154.4365234375,366.4937744140625,1.0,1.0,1.0,1.0,1.0
1022,23,227.461181640625,71.88951110839844,-691.0211181640625,1.0,1.0,1.0,1.0,1.0
1024,39,180.55441284179688,73.52053833007812,771.6342163085938,0.0,0.0,1.0,1.0,1.0
1028,30,216.78562927246094,-4.272573947906494,-555.4615478515625,1.0,1.0,1.0,1.0,1.0
103,39,270.8360290527344,-120.87942504882812,-305.2337951660156,0.0,1.0,1.0,1.0,1.0
1035,9,188.6654815673828,-42.288841247558594,-785.3207397460938,1.0,1.0,0.0,0.0,0.0
1035,40,255.8397674560547,-108.09774780273438,-794.5242309570312,0.0,1.0,1.0,1.0,1.0
1036,2,311.8750305175781,93.29471588134766,186.53546142578125,1.0,0.0,0.0,0.0,0.0
1038,12,261.63372802734375,104.03559875488281,-296.63995361328125,0.0,0.0,0.0,1.0,1.0
1039,21,221.37977600097656,-97.79458618164062,107.3500747680664,1.0,1.0,1.0,1.0,1.0
1041,38,143.158935546875,25.44011878967285,184.21641540527344,1.0,1.0,1.0,1.0,1.0
1042,20,123.61131286621094,49.074432373046875,-154.0435791015625,1.0,1.0,1.0,1.0,1.0
1042,38,189.64418029785156,-13.160164833068848,123.70759582519531,0.0,1.0,1.0,0.0,0.0
1043,18,180.32749938964844,108.92530822753906,417.0466003417969,1.0,1.0,1.0,1.0,1.0
1045,13,145.2523193359375,45.435054779052734,283.2417907714844,1.0,1.0,1.0,1.0,1.0
1046,6,198.2430419921875,-3.807227849960327,630.1034545898438,1.0,1.0,1.0,1.0,1.0
1046,30,102.23658752441406,-116.42552185058594,-717.1248168945312,0.0,0.0,0.0,0.0,0.0
1048,7,175.81056213378906,61.005950927734375,-752.2174682617188,0.0,0.0,0.0,0.0,0.0
1049,16,144.0203094482422,-16.6453857421875,-687.4786987304688,1.0,1.0,1.0,1.0,1.0
105,28,129.9881591796875,-151.0454864501953,-811.5479736328125,1.0,0.0,0.0,0.0,0.0
105,37,128.65029907226562,7.159466743469238,171.7578125,1.0,1.0,1.0,1.0,1.0
1052,11,162.47610473632812,-3.8271965980529785,552.5774536132812,1.0,1.0,1.0,1.0,1.0
1052,27,228.4625701904297,83.7957534790039,-791.0291137695312,1.0,1.0,1.0,1.0,1.0
